,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,0.00,,,,,,,,,,365_day,100.00
CMCC-ESM2,r1i1p1f2,,,,,,,,0,,,0.75,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f1,,,,,,,,0,,,0.79,,,,,,,,,,,gregorian,
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,2.14,0.02,,1.00,,,,,2.14,4.83,CNRM,bc dust oa so4 ss,2222101100.00,,150.00
CNRM-CM6-1,r2i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,,1.00,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r3i1p1f2,0.00,RCM,,-,-,ESD,-,0,,0.02,,1.00,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,CNRM,,,,
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,CNRM,,,,
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,CNRM,,,,
CNRM-CM6-1-HR,r1i1p1f1,,,,,,,,1,,,,,0.48,0.80,0.37,,,,,,,gregorian,
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,2,2.48,0.02,,0.00,,,,,2.48,4.28,CNRM,,2222101100.00,,
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,1.86,0.02,0.75,1.00,0.37,0.66,0.61,,1.86,4.76,CNRM,bc dust oa so4 ss,2222222220.00,gregorian,150.00
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,1,,0.02,,1.00,0.36,0.77,0.66,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,,1.00,0.42,0.50,0.60,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,,,,,,CNRM,bc dust oa so4 ss,,,
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.78,0.00,0.68,0.89,0.86,0.24,,5.62,CanESM,dust ss,2222222121.00,,
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,0.82,0.00,,,,,2.74,,CanESM,dust ss,,365_day,500.00
CanESM5,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.56,0.89,0.75,,,,,dust ss,,,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,,0.00,,,,,2.74,,CanESM,dust ss,,,500.00
CanESM5,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.61,0.84,0.77,,,,,dust ss,,,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,2.74,0.00,,0.00,,,,,2.74,,CanESM,dust ss,,,500.00
CanESM5,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.68,0.90,0.79,,,,,dust ss,,,
CanESM5,r4i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.61,0.92,0.77,,,,,dust ss,,,
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.62,0.91,0.76,,,,,dust ss,,,
