,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.70,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.73,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.73,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.69,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.70,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.71,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.69,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.70,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.70,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.70,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.73,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.74,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,5.20,CanESM,,,365_day,
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,,0.00,,,,0.10,-0.10,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,CanESM,,,,
CanESM5-CanOE,r2i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,CanESM,,,,
CanESM5-CanOE,r3i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,Basic,1,2.99,,,,,,,0.05,-0.03,,,,,,,,,,,,,,,,,2.99,1.49,5.32,,,,,,,,,,,,,,100.00
E3SM-1-0,r2i1p1f1,0.00,Basic,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,
E3SM-1-0,r3i1p1f1,0.00,Basic,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,
E3SM-1-0,r5i1p1f1,0.00,Basic,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,0,,,,,,,,0.05,-0.04,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,365_day,100.00
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,Basic,0,,,,,,,,0.04,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
EC-Earth3,r1i1p1f1,1.00,AORCM,-,AORCM,AORCM,AORCM,AORCM,1,2.30,0.01,0.82,0.00,0.33,0.00,0.00,,,-0.26,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.82,1.00,1.00,1.00,1.00,1.10,1.10,2.30,1.59,,,-0.06,4.07,5.86,2.03,-40.15,3.00,5.00,4.30,EC-Earth,MACv2-SP approach,2222101000.00,gregorian,100.00
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,3.00,5.00,,EC-Earth,,,,
EC-Earth3,r3i1p1f1,0.00,ESD,,,,,ESD,0,,0.01,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,EC-Earth,,,,
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.01,,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,3.00,5.00,,EC-Earth,,,,
EC-Earth3,r5i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,0,,0.01,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,EC-Earth,,,,
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,3.00,5.00,,EC-Earth,,,,
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,3.00,5.00,,EC-Earth,,,,
EC-Earth3,r9i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r10i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r11i1p1f1,0.00,RCM,,RCM,RCM,RCM,RCM,1,,,,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r12i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r13i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r14i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r15i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r16i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r17i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r18i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r19i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r20i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r21i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r22i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r23i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r24i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3,r25i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,5.00,,,,,,
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,0,,,,,0.40,,,0.05,-0.06,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,2222102000.00,,100.00
EC-Earth3-AerChem,r4i1p1f1,0.00,Basic,,,ESD,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
EC-Earth3-CC,r1i1p1f1,0.00,Basic,,,ESD,,ESD,0,,,,,0.33,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,2222221020.00,gregorian,100.00
EC-Earth3-Veg,r1i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.62,0.01,0.80,0.00,0.39,,,,,-0.69,1.00,1.00,,,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,1.00,1.30,2.62,,4.31,,-0.12,3.63,5.27,-6.31,-26.30,4.00,5.00,3.90,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
EC-Earth3-Veg,r2i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,,0.00,,,,,,,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,2.62,,4.31,,,,,,,4.00,5.00,,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
EC-Earth3-Veg,r3i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,,0.00,,,,,,,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,2.62,,4.31,,,,,,,4.00,5.00,,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
EC-Earth3-Veg,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,4.31,,,,,,,4.00,5.00,,EC-Earth,,,gregorian,
EC-Earth3-Veg,r5i1p1f1,0.00,Basic,,,Basic,,,0,,,,,,,,,,,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,4.31,,,,,,,,,,EC-Earth,,,gregorian,
EC-Earth3-Veg,r6i1p1f1,0.00,Basic,,ESD,ESD,,ESD,2,2.62,0.01,,0.00,0.36,,,,,,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,2.62,,4.31,,,,,,,4.00,5.00,,EC-Earth,,2222221000.00,gregorian,100.00
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,0,,,,,0.41,,,,,,,,,,,,,1.00,,,,,,,,,,,,,3.43,4.60,4.45,-20.56,,,,,,2222221000.00,gregorian,250.00
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,6,1.94,0.03,,0.00,,3.00,0.00,,,,3.00,1.00,3.00,1.00,3.00,2.00,,3.00,0.79,1.00,2.00,,,,,1.94,,3.00,,,,,,,2.00,4.00,2.80,,,,365_day,100.00
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,5,1.54,0.00,,1.00,,3.00,1.00,,,-0.43,3.00,2.00,3.00,2.00,,,,,0.80,1.00,2.00,,,0.90,-99.00,1.54,1.86,2.88,,0.80,2.29,2.92,-4.16,-14.57,1.00,3.00,2.10,,,,365_day,250.00
FGOALS-g3,r2i1p1f1,0.00,-,,3Dml,3Dml,3Dml,3Dml,2,,,,1.00,,,,,,,3.00,2.00,3.00,2.00,,,,,,1.00,2.00,,,,,,1.94,,,,,,,,1.00,3.00,,,,,,
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,2,,,,1.00,0.96,,,,,,3.00,2.00,3.00,2.00,,,,,,1.00,2.00,,,,,,1.84,,,,,,,,1.00,3.00,,,,,,
FGOALS-g3,r4i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,2,,,,1.00,,,,,,,3.00,2.00,3.00,2.00,,,,,,1.00,2.00,,,,,,1.96,,,,,,,,1.00,3.00,,,,,,
FIO-ESM-2-0,r1i1p1f1,0.00,-,,-,-,,-,1,2.22,0.08,,0.00,,,,,,,,,,,,,,,,,,,,,,2.22,1.51,,,,,,,,4.00,4.00,3.40,,,,365_day,100.00
FIO-ESM-2-0,r2i1p1f1,0.00,-,,-,-,,-,1,,0.08,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,4.00,4.00,,,,,,
FIO-ESM-2-0,r3i1p1f1,0.00,-,,-,-,,-,1,,0.08,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,4.00,4.00,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,0,,,,1.00,0.64,,,0.05,-0.13,-2.10,1.00,1.00,,,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,,,,,,-0.01,1.30,,,,,3.00,3.00,3.90,,,2222212110.00,,100.00
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,1,1.61,0.13,,1.00,0.74,,,0.07,-0.10,-3.40,1.00,1.00,,,,,,,,1.00,1.00,,,,,1.61,,,-0.03,0.32,2.63,4.02,-0.93,-26.09,1.00,2.00,2.70,,bc dust no3 oa so4 ss,2222222220.00,,100.00
GFDL-ESM4,r2i1p1f1,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,1.00,1.00,,,,,,,,1.00,1.00,,,0.80,1.00,,,,,,,,,,1.00,2.00,,,,,,
GFDL-ESM4,r3i1p1f1,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,2.00,,,,,,
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,2,1.80,,,,0.71,3.00,0.00,,,,,,,,,,,3.00,0.79,,,,,,,1.80,,2.72,,,,,,,,,2.90,,,2222101100.00,365_day,250.00
GISS-E2-1-G,r1i1p1f2,0.00,3Dml,3Dml,3Dml,3Dml,3Dml,3Dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,
GISS-E2-1-G,r1i1p3f1,0.00,-,-,-,-,-,-,4,,0.05,,1.00,,,,0.51,-0.27,,3.00,1.00,3.00,1.00,3.00,1.00,1.00,,,1.00,1.00,2.00,1.00,,,,2.00,,-0.17,,,,,,2.00,3.00,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r1i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r1i1p5f1,0.00,-,-,-,-,-,-,0,,,,1.00,,,,0.12,-0.13,,,,,,,,,,,,,,,,,,,,-0.06,,,,,,2.00,3.00,,,,,,
GISS-E2-1-G,r2i1p1f2,0.00,-,-,-,3Dml,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,
GISS-E2-1-G,r2i1p3f1,0.00,-,,-,-,-,-,3,,,,1.00,,,,,,,3.00,1.00,3.00,1.00,3.00,1.00,1.00,,,1.00,1.00,2.00,1.00,,,,1.99,,,,,,,,2.00,3.00,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p5f1,0.00,-,,-,-,-,-,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,2.00,3.00,,,,,,
GISS-E2-1-G,r3i1p1f2,0.00,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,
GISS-E2-1-G,r3i1p3f1,0.00,-,,-,-,-,-,3,,,,1.00,,,,,,,3.00,1.00,3.00,1.00,3.00,1.00,1.00,,,1.00,1.00,2.00,1.00,,,,1.98,,,,,,,,2.00,3.00,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p5f1,0.00,-,,-,-,-,-,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,2.00,3.00,,,,,,
GISS-E2-1-G,r4i1p1f2,0.00,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,
