,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
ACCESS-ESM1-5,r19i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r21i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r24i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r25i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r26i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r27i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r28i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
ACCESS-ESM1-5,r29i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,4.00,,,,,,
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,1,2.06,0.06,,0.00,,,,,,,,,,,,,,,,,,,,,,2.06,,3.16,,0.94,3.22,4.70,,,5.00,5.00,3.40,,,,gregorian,100.00
AWI-ESM-1-1-LR,r1i1p1f1,0.00,AORCM,,,,,,0,,,,,0.64,,,0.06,-0.11,,,,,,,,,1.00,0.79,,,,,,,,,,,,,,,,,,,,,2222220100.00,,
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.72,0.02,0.78,1.00,0.65,1.00,1.00,,,-1.49,,,,,,,,2.00,0.83,,,,,1.00,1.80,1.72,1.71,3.04,,1.33,2.91,4.52,-14.01,-33.39,2.00,3.00,3.20,,,2222221120.00,365_day,100.00
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,1.77,,,,,2.00,2.00,0.13,-0.10,,1.00,1.00,1.00,2.00,1.00,2.00,1.00,,0.84,1.00,1.00,1.00,2.00,,,1.77,,3.26,,,,,,,,,,,dust so4 ss,,,
BCC-ESM1,r2i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust so4 ss,,,
BCC-ESM1,r3i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust so4 ss,,,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,1.73,0.06,,,,,,,,-1.91,1.00,1.00,,,,,2.00,,,2.00,2.00,,,,,1.73,1.89,,,-0.40,,,,,,,2.50,,,,365_day,100.00
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,0.06,,,,,,,,,1.00,1.00,,,,,2.00,,,2.00,2.00,,,,,,1.81,2.29,,,2.36,3.04,-3.17,-34.88,,,,,,,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,2.04,,,1.00,,,,,,,,,,,,,,,,,,,,,,2.04,1.64,3.51,,,,,,,4.00,4.00,,,,,365_day,100.00
CAS-ESM2-0,r3i1p1f1,0.00,-,,-,-,-,-,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,4.00,4.00,,,,,,
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.02,0.79,0.00,,2.00,2.00,0.06,-0.02,,1.00,2.00,2.00,1.00,,,1.00,,0.83,1.00,1.00,,,1.50,2.30,,1.74,,-0.01,,,,,,3.00,3.00,,CESM,bc dust oa so4,,,
CESM2,r2i1p1f1,0.00,ESD,,AORCM,AORCM,AORCM,AORCM,1,2.06,0.02,0.75,0.00,,,,,,1.42,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,1.50,2.20,2.06,,5.16,,-1.53,,,,,,,3.80,CESM,bc dust oa so4 ss,,365_day,100.00
CESM2,r3i1p1f1,0.00,ESD,,,Basic,-,,0,,,,,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,,,,,,2.90,4.49,-12.96,-17.91,,,,,bc dust oa so4,,,
CESM2,r5i1p1f1,0.00,ESD,,,,-,,0,,,,,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r6i1p1f1,0.00,ESD,,,,-,,0,,,,,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r10i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,0,,,,,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r11i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,2.06,0.02,,0.00,,,,,,,1.00,2.00,2.00,1.00,,,1.00,,,1.00,1.00,,,,,2.06,,,,,,,,,,,,,bc dust oa so4,,,100.00
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,1,2.05,,,,,3.00,2.00,0.07,-0.01,,,,,,,,,,0.82,,,,,,,2.05,,5.14,,,,,,,,,,,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,1.98,0.01,,0.00,,1.00,2.00,0.06,-0.04,0.28,1.00,1.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,1.98,1.72,4.75,-0.00,0.11,2.88,4.34,-14.79,-25.60,2.00,3.00,3.80,CESM,bc dust oa so4,,365_day,100.00
CESM2-WACCM,r2i1p1f1,0.00,ESD,,,ESD,Basic,Basic,0,,,,,,,,,,,1.00,1.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM,r3i1p1f1,0.00,ESD,,,ESD,Basic,ESD,0,,,,,,,,,,,1.00,1.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
