,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,CanESM,,
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,CanESM,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,CanESM,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.00,,,CanESM,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,0.00,,,CanESM,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,,,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,CanESM,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,
CanESM5,r26i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r27i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r28i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r29i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r30i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r31i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r32i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r33i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r34i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r35i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r36i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r37i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r38i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r39i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r40i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,
CanESM5,r41i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,
