,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r42i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r43i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r44i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r45i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r46i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r47i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r48i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r49i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5,r50i1p1f1,,,,,,,,,,,,,,CanESM,,
CanESM5,r50i1p2f1,,,,,,,,1,,0.00,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,0.00,,,,CanESM,,
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,0.00,,,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,0.00,,,,CanESM,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,0.00,,,,CanESM,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,,1,2.99,,,2.99,5.32,,100.00,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,,,,,,,,100.00,
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,,,,,,,,,100.00,
EC-Earth3,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,2.30,0.01,0.00,2.30,,EC-Earth,100.00,2222101000.00
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,0.00,,,EC-Earth,,
