model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
CNRM-CM6-1,r9i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r10i1p1f2,0,Basic,,,-,,
CNRM-CM6-1,r11i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r12i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r13i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r14i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r15i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r16i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r17i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r18i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r19i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r20i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r21i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r22i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r23i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r24i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r25i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r26i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r27i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r28i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r29i1p1f2,0,ESD,,,,,
CNRM-CM6-1,r30i1p1f2,0,ESD,,,,,
CNRM-ESM2-1,r1i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
CNRM-ESM2-1,r2i1p1f2,0,ESD,-,3Dml,3Dml,Basic,3Dml
CNRM-ESM2-1,r3i1p1f2,0,ESD,-,3Dml,3Dml,Basic,3Dml
CNRM-ESM2-1,r4i1p1f2,0,Basic,-,-,-,-,-
CNRM-ESM2-1,r5i1p1f2,0,Basic,-,-,-,-,-
CNRM-ESM2-1,r6i1p1f2,0,Basic,,,-,,
CNRM-ESM2-1,r7i1p1f2,0,Basic,,,-,,
CNRM-ESM2-1,r8i1p1f2,0,Basic,,,-,,
CNRM-ESM2-1,r9i1p1f2,0,Basic,,,-,,
CNRM-ESM2-1,r10i1p1f2,0,Basic,,,-,,
CNRM-ESM2-1,r11i1p1f2,0,Basic,,,,,
CanESM5-CanOE,r1i1p2f1,0,-,,-,-,-,-
CanESM5-CanOE,r2i1p2f1,0,-,,-,-,-,-
CanESM5-CanOE,r3i1p2f1,0,-,,-,-,-,-
CanESM5,r1i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r1i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5,r2i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r2i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5,r3i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r3i1p2f1,1,RCM,ESD,RCM,RCM,RCM,RCM
CanESM5,r4i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r4i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r5i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r5i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r6i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r6i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r7i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r7i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r8i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r8i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r9i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r9i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r10i1p1f1,0,ESD,Basic,ESD,ESD,ESD,ESD
CanESM5,r10i1p2f1,0,ESD,ESD,ESD,ESD,ESD,ESD
CanESM5,r11i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r11i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r12i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r12i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r13i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r13i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r14i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r14i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r15i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
