model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
GISS-E2-1-H,r1i1p1f2,0,-,,,,,
GISS-E2-1-H,r1i1p3f1,0,-,,,,,
GISS-E2-1-H,r1i1p5f1,0,-,,,,,
GISS-E2-1-H,r2i1p1f1,0,-,,,,,
GISS-E2-1-H,r2i1p1f2,0,-,,,,,
GISS-E2-1-H,r2i1p3f1,0,-,,,,,
GISS-E2-1-H,r2i1p5f1,0,-,,,,,
GISS-E2-1-H,r3i1p1f1,0,-,,,,,
GISS-E2-1-H,r3i1p1f2,0,-,,,,,
GISS-E2-1-H,r3i1p3f1,0,-,,,,,
GISS-E2-1-H,r3i1p5f1,0,-,,,,,
GISS-E2-1-H,r4i1p1f1,0,-,,,,,
GISS-E2-1-H,r4i1p1f2,0,-,,,,,
GISS-E2-1-H,r4i1p3f1,0,-,,,,,
GISS-E2-1-H,r4i1p5f1,0,-,,,,,
GISS-E2-1-H,r5i1p1f1,0,-,,,,,
GISS-E2-1-H,r5i1p1f2,0,-,,,,,
GISS-E2-1-H,r5i1p3f1,0,-,,,,,
GISS-E2-1-H,r5i1p5f1,0,-,,,,,
GISS-E2-1-H,r6i1p1f1,0,-,,,,,
GISS-E2-1-H,r7i1p1f1,0,-,,,,,
GISS-E2-1-H,r8i1p1f1,0,-,,,,,
GISS-E2-1-H,r9i1p1f1,0,-,,,,,
GISS-E2-1-H,r10i1p1f1,0,-,,,,,
HadGEM3-GC31-LL,r1i1p1f3,1,RCM,,RCM,RCM,,RCM
HadGEM3-GC31-LL,r2i1p1f3,0,ESD,,,Basic,,ESD
HadGEM3-GC31-LL,r3i1p1f3,0,ESD,,,Basic,,ESD
HadGEM3-GC31-LL,r4i1p1f3,0,ESD,,,Basic,,ESD
HadGEM3-GC31-LL,r5i1p1f3,0,ESD,,,,,
HadGEM3-GC31-MM,r1i1p1f3,1,RCM,,RCM,,,RCM
HadGEM3-GC31-MM,r2i1p1f3,0,ESD,,,,,ESD
HadGEM3-GC31-MM,r3i1p1f3,0,ESD,,,,,ESD
HadGEM3-GC31-MM,r4i1p1f3,0,ESD,,,,,ESD
IITM-ESM,r1i1p1f1,0,3Dml,,3Dml,3Dml,3Dml,3Dml
INM-CM4-8,r1i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
INM-CM5-0,r1i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
INM-CM5-0,r2i1p1f1,0,ESD,,,,ESD,
INM-CM5-0,r3i1p1f1,0,ESD,,,,ESD,
INM-CM5-0,r4i1p1f1,0,ESD,,,,ESD,
INM-CM5-0,r5i1p1f1,0,ESD,,,,ESD,
INM-CM5-0,r6i1p1f1,0,ESD,,,,,
INM-CM5-0,r7i1p1f1,0,ESD,,,,,
INM-CM5-0,r8i1p1f1,0,ESD,,,,,
INM-CM5-0,r9i1p1f1,0,ESD,,,,,
INM-CM5-0,r10i1p1f1,0,ESD,,,,,
IPSL-CM5A2-INCA,r1i1p1f1,0,3Dml,,3Dml,,3Dml,
IPSL-CM6A-LR-INCA,r1i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r1i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r2i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r3i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r4i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r5i1p1f1,0,RCM,,,RCM,RCM,
IPSL-CM6A-LR,r6i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r7i1p1f1,0,RCM,,,,RCM,
IPSL-CM6A-LR,r8i1p1f1,0,RCM,,,,RCM,
IPSL-CM6A-LR,r9i1p1f1,0,RCM,,,,RCM,
IPSL-CM6A-LR,r10i1p1f1,0,RCM,,,RCM,RCM,
IPSL-CM6A-LR,r11i1p1f1,0,RCM,,,RCM,,
IPSL-CM6A-LR,r12i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r13i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r14i1p1f1,1,RCM,RCM,RCM,RCM,RCM,RCM
IPSL-CM6A-LR,r15i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r16i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r17i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r18i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r19i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r20i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r21i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r22i1p1f1,0,RCM,,,RCM,,
IPSL-CM6A-LR,r23i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r24i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r25i1p1f1,0,RCM,,,RCM,,
IPSL-CM6A-LR,r26i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r27i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r28i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r29i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r30i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r31i1p1f1,0,RCM,,,,,
IPSL-CM6A-LR,r32i1p1f1,0,RCM,,,,,
KACE-1-0-G,r1i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
KACE-1-0-G,r2i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
KACE-1-0-G,r3i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
KIOST-ESM,r1i1p1f1,0,Basic,,Basic,Basic,,Basic
MCM-UA-1-0,r1i1p1f1,0,-,,,,,
MCM-UA-1-0,r1i1p1f2,0,-,,-,-,-,-
MIROC6,r1i1p1f1,1,RCM,ESD,RCM,RCM,RCM,RCM
MIROC6,r2i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
MIROC6,r3i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
MIROC6,r4i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r5i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r6i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r7i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r8i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r9i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r10i1p1f1,0,ESD,,Basic,Basic,,Basic
MIROC6,r11i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r12i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r13i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r14i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r15i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r16i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r17i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r18i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r19i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r20i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r21i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r22i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r23i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r24i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r25i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r26i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r27i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r28i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r29i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r30i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r31i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r32i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r33i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r34i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r35i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r36i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r37i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r38i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r39i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r40i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r41i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r42i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r43i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r44i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r45i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r46i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r47i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r48i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r49i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC6,r50i1p1f1,0,Basic,,Basic,Basic,,Basic
MIROC-ES2L,r1i1p1f2,1,RCM,RCM,RCM,RCM,RCM,RCM
MIROC-ES2L,r1i1000p1f2,0,RCM,,,,,
MIROC-ES2L,r2i1p1f2,0,RCM,RCM,RCM,RCM,-,-
MIROC-ES2L,r3i1p1f2,0,RCM,RCM,RCM,RCM,-,-
MIROC-ES2L,r4i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r5i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r6i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r7i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r8i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r9i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r10i1p1f2,0,RCM,-,-,RCM,-,-
MIROC-ES2L,r11i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r12i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r13i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r14i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r15i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r16i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r17i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r18i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r19i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r20i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r21i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r22i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r23i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r24i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r25i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r26i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r27i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r28i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r29i1p1f2,0,RCM,,,RCM,,
MIROC-ES2L,r30i1p1f2,0,RCM,,,RCM,,
MPI-ESM1-2-HR,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-HR,r2i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-HR,r3i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r4i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r5i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r6i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r7i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r8i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r9i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-HR,r10i1p1f1,0,RCM,,,,RCM,
MPI-ESM1-2-LR,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r2i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r3i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r4i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r5i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r6i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r7i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r8i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r9i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM1-2-LR,r10i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
MPI-ESM-1-2-HAM,r1i1p1f1,0,RCM,,,,RCM,
MPI-ESM-1-2-HAM,r2i1p1f1,0,RCM,,,,RCM,
MPI-ESM-1-2-HAM,r3i1p1f1,0,RCM,,,,RCM,
MRI-ESM2-0,r1i1p1f1,1,RCM,ESD,RCM,ESD,ESD,RCM
MRI-ESM2-0,r1i2p1f1,0,Basic,,,,,Basic
MRI-ESM2-0,r1i3p1f1,0,,,,Basic,,
MRI-ESM2-0,r1i1000p1f1,0,Basic,,,,,
MRI-ESM2-0,r2i1p1f1,0,ESD,,,ESD,ESD,
MRI-ESM2-0,r2i3p1f1,0,,,,Basic,,
MRI-ESM2-0,r3i1p1f1,0,ESD,,,ESD,ESD,
MRI-ESM2-0,r3i3p1f1,0,,,,Basic,,
MRI-ESM2-0,r4i1p1f1,0,ESD,,,ESD,ESD,
MRI-ESM2-0,r4i3p1f1,0,,,,Basic,,
MRI-ESM2-0,r5i1p1f1,0,ESD,,,ESD,ESD,
MRI-ESM2-0,r5i3p1f1,0,,,,Basic,,
NESM3,r1i1p1f1,0,3Dml,,3Dml,3Dml,,3Dml
NESM3,r2i1p1f1,0,3Dml,,3Dml,3Dml,,3Dml
NESM3,r3i1p1f1,0,3Dml,,,,,
NESM3,r4i1p1f1,0,3Dml,,,,,
NESM3,r5i1p1f1,0,3Dml,,,,,
NorCPM1,r1i1p1f1,0,Basic,,,,,
NorCPM1,r2i1p1f1,0,Basic,,,,,
NorCPM1,r3i1p1f1,0,Basic,,,,,
NorCPM1,r4i1p1f1,0,Basic,,,,,
NorCPM1,r5i1p1f1,0,Basic,,,,,
NorCPM1,r6i1p1f1,0,Basic,,,,,
NorCPM1,r7i1p1f1,0,Basic,,,,,
NorCPM1,r8i1p1f1,0,Basic,,,,,
NorCPM1,r9i1p1f1,0,Basic,,,,,
NorCPM1,r10i1p1f1,0,Basic,,,,,
NorCPM1,r11i1p1f1,0,Basic,,,,,
NorCPM1,r12i1p1f1,0,Basic,,,,,
NorCPM1,r13i1p1f1,0,Basic,,,,,
NorCPM1,r14i1p1f1,0,Basic,,,,,
NorCPM1,r15i1p1f1,0,Basic,,,,,
NorCPM1,r16i1p1f1,0,Basic,,,,,
NorCPM1,r17i1p1f1,0,Basic,,,,,
NorCPM1,r18i1p1f1,0,Basic,,,,,
NorCPM1,r19i1p1f1,0,Basic,,,,,
NorCPM1,r20i1p1f1,0,Basic,,,,,
NorCPM1,r21i1p1f1,0,Basic,,,,,
NorCPM1,r22i1p1f1,0,Basic,,,,,
NorCPM1,r23i1p1f1,0,Basic,,,,,
NorCPM1,r24i1p1f1,0,Basic,,,,,
NorCPM1,r25i1p1f1,0,Basic,,,,,
NorCPM1,r26i1p1f1,0,Basic,,,,,
NorCPM1,r27i1p1f1,0,Basic,,,,,
NorCPM1,r28i1p1f1,0,Basic,,,,,
NorCPM1,r29i1p1f1,0,Basic,,,,,
NorCPM1,r30i1p1f1,0,Basic,,,,,
NorESM2-LM,r1i1p1f1,1,RCM,,RCM,RCM,RCM,RCM
NorESM2-LM,r2i1p1f1,0,3Dml,,,RCM,Basic,
NorESM2-LM,r3i1p1f1,0,3Dml,,,RCM,Basic,
NorESM2-MM,r1i1p1f1,0,RCM,,3Dml,3Dml,3Dml,3Dml
NorESM2-MM,r2i1p1f1,0,3Dml,,,3Dml,,
NorESM2-MM,r3i1p1f1,0,3Dml,,,,,
SAM0-UNICON,r1i1p1f1,0,3Dml,,,,,
TaiESM1,r1i1p1f1,0,RCM,,RCM,RCM,ESD,Basic
TaiESM1,r2i1p1f1,0,-,,,,,
UKESM1-0-LL,r1i1p1f2,1,RCM,ESD,RCM,ESD,ESD,RCM
UKESM1-0-LL,r2i1p1f2,0,ESD,ESD,ESD,ESD,ESD,ESD
UKESM1-0-LL,r3i1p1f2,0,ESD,ESD,ESD,ESD,ESD,ESD
UKESM1-0-LL,r4i1p1f2,0,ESD,ESD,ESD,ESD,ESD,ESD
UKESM1-0-LL,r5i1p1f2,0,,,ESD,Basic,ESD,
UKESM1-0-LL,r5i1p1f3,0,ESD,,,,,
UKESM1-0-LL,r6i1p1f2,0,,,ESD,Basic,ESD,
UKESM1-0-LL,r6i1p1f3,0,ESD,,,,,
UKESM1-0-LL,r7i1p1f2,0,,,ESD,Basic,ESD,
UKESM1-0-LL,r7i1p1f3,0,ESD,,,,,
UKESM1-0-LL,r8i1p1f2,0,ESD,ESD,ESD,ESD,ESD,ESD
UKESM1-0-LL,r9i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r10i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r11i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r12i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r13i1p1f2,0,-,,ESD,ESD,Basic,
UKESM1-0-LL,r14i1p1f2,0,Basic,,ESD,ESD,,
UKESM1-0-LL,r15i1p1f2,0,-,,ESD,ESD,,
UKESM1-0-LL,r16i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r17i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r18i1p1f2,0,ESD,,ESD,Basic,ESD,
UKESM1-0-LL,r19i1p1f2,0,ESD,,ESD,Basic,ESD,
