,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,2. Performance,3. Spread,3. Spread,3. Spread,3. Spread,3. Spread,4. Independence
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,1,,,,,,0.41,,,,,,,,,,,,
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,,,,,,,,,,,,,,3.00,,,,,
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,0,,0.00,1.00,21.00,-0.43,,1.00,1.90,67.20,5.30,,3.80,2.88,0.80,3.14,-9.14,2.10,FGOALS
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,1,,,,,,0.96,,,,,,,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,1,,,,,,0.64,,,,,,,,,5.84,-43.64,,
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,1,1.61,0.13,1.00,1.00,-3.40,,1.00,0.80,,,,,,0.32,3.27,-37.26,2.70,GFDL
GFDL-ESM4,r2i1p1f1,0.00,-,,,-,,,1,,,,,,,,,10.10,1.40,10.20,1.30,,,,,,
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,1,,,,,,0.71,,,,,,,2.72,,,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,,,3.11,,,,,
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,,,,,,,,,,,,,,5.55,,7.02,-37.56,,
HadGEM3-GC31-MM,r1i1p1f3,0.00,RCM,,RCM,,,RCM,1,,,,,,0.42,,,,,,,5.42,,,,,
IITM-ESM,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,1,,,,,,0.81,,,,,,,,,2.63,-18.10,,
INM-CM4-8,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,,,,,,,,,,,,,,1.83,,2.32,-23.84,,
INM-CM5-0,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,1.39,0.04,1.00,21.00,0.03,,1.00,0.80,8.70,2.00,13.60,2.00,1.92,,3.25,-23.54,2.70,INM
IPSL-CM6A-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,2.39,0.02,0.00,13.00,-1.53,0.79,1.00,1.20,10.30,1.90,9.40,1.20,4.56,2.17,5.72,-38.73,4.10,IPSL
IPSL-CM6A-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r5i1p1f1,0.00,RCM,,,RCM,RCM,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r10i1p1f1,0.00,RCM,,,RCM,RCM,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r14i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,,,,,0.68,,,,,,,,,,,,
KACE-1-0-G,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,,,,,,,,,,,,,,4.48,,5.48,-45.22,,
KIOST-ESM,r1i1p1f1,0.00,Basic,,Basic,Basic,,Basic,1,,,,,,0.88,,,,,,,,,2.64,-29.56,,
MCM-UA-1-0,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,,,3.65,,,,,
MIROC6,r1i1p1f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,1,1.58,0.02,1.00,23.00,-3.31,,1.00,1.70,6.70,1.20,4.90,1.30,2.61,-0.24,3.68,-31.89,3.30,MIROC
MIROC6,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,,,0.89,,,,,,,,,,,,
MIROC-ES2L,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,,,,,1.20,,,,,,,2.68,,4.81,-24.26,,
MIROC-ES2L,r2i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,r3i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,r5i1p1f2,0.00,RCM,-,-,RCM,-,-,1,,,,,,1.15,,,,,,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,1.57,0.08,1.00,9.00,-3.10,0.59,1.00,0.70,17.00,1.50,4.50,1.40,2.98,0.92,3.76,-42.61,2.80,MPI
MPI-ESM1-2-HR,r2i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.52,,,,,,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,0.06,1.00,,,0.65,1.00,1.10,6.90,1.50,5.10,1.00,3.00,,3.24,-63.07,2.70,MPI
MPI-ESM1-2-LR,r2i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.73,,,,,,,,,,,,
MPI-ESM1-2-LR,r3i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.69,,,,,,,,,,,,
MPI-ESM1-2-LR,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.71,,,,,,,,,,,,
MPI-ESM1-2-LR,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.74,,,,,,,,,,,,
MPI-ESM1-2-LR,r6i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.74,,,,,,,,,,,,
MPI-ESM1-2-LR,r7i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.61,,,,,,,,,,,,
MPI-ESM1-2-LR,r8i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.63,,,,,,,,,,,,
MPI-ESM1-2-LR,r9i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.76,,,,,,,,,,,,
MPI-ESM1-2-LR,r10i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,,,0.66,,,,,,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,0.00,RCM,,,,RCM,,1,,,,,,0.72,,,,,,,2.96,,,,,
MRI-ESM2-0,r1i1p1f1,0.00,RCM,ESD,RCM,ESD,ESD,RCM,1,1.67,0.02,1.00,17.00,-2.66,0.61,1.00,1.60,11.30,0.90,6.90,1.00,3.15,-0.05,2.69,-23.57,2.90,MRI
NESM3,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,,3Dml,0,2.79,0.09,1.00,,-2.03,0.71,1.00,1.70,37.40,3.10,6.00,2.10,4.72,0.99,6.33,-57.38,4.20,NESM
NorCPM1,r1i1p1f1,0.00,Basic,,,,,,,,,,,,,,,,,,,3.05,,,,,
NorESM2-LM,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.48,,0.00,27.00,,1.00,1.00,1.60,8.30,1.20,5.60,1.40,2.54,,2.97,-34.16,3.50,CESM
NorESM2-MM,r1i1p1f1,0.00,RCM,,3Dml,3Dml,3Dml,RCM,1,1.48,0.03,1.00,,,0.71,1.00,1.00,15.50,1.90,5.30,1.50,2.50,,3.12,-37.21,3.20,CESM
SAM0-UNICON,r1i1p1f1,0.00,3Dml,,,,,,1,,,,,,0.73,,,,,,,3.72,,,,,
TaiESM1,r1i1p1f1,0.00,RCM,,RCM,RCM,ESD,ESD,1,,,,,,0.51,,,,,,,4.31,,4.51,-50.19,,
UKESM1-0-LL,r1i1p1f2,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,2.79,0.06,0.00,2.00,-0.43,,1.00,1.10,14.10,1.40,6.20,1.30,5.34,1.46,8.06,-44.24,5.20,HadGEM
UKESM1-0-LL,r2i1p1f2,1.00,RCM,ESD,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,r3i1p1f2,1.00,RCM,ESD,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,,,,,,
