,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CESM2,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,0.79,,0.02,0.00,2.00,2.00,,,,1.60,0.06,-0.02,1.00,1.00,1.20,9.40,1.60,1.40,8.90,2.30,1.50,,,,-0.01,,,,,,,,CESM,bc dust oa so4,,,
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,1,0.75,2.06,0.02,0.00,,,,1.42,,1.50,,,,,,7.10,1.40,1.40,9.20,2.20,1.50,2.06,5.16,-1.53,,3.00,,,,,,3.80,CESM,bc dust oa so4 ss,100.00,,365_day
CESM2,r3i1p1f1,0.00,ESD,,,Basic,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,2.52,3.31,6.67,5.88,-27.04,,,bc dust oa so4,,,
CESM2,r5i1p1f1,0.00,ESD,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r6i1p1f1,0.00,ESD,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r10i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,2.06,0.02,0.00,,,,,,,,,,,,,,,,,,2.06,,,,3.00,,,,,,,,bc dust oa so4,100.00,,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,3,,2.05,,,3.00,2.00,,,,,0.07,-0.01,3.00,3.00,1.20,,,,,,,2.05,5.14,,,,,,,,,,,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,,1.98,0.01,0.00,1.00,2.00,,0.28,,,0.06,-0.04,0.00,1.00,1.20,,,,,,,1.98,4.75,0.11,-0.00,3.00,3.96,3.88,6.92,6.06,-24.97,3.80,CESM,bc dust oa so4,100.00,,365_day
CESM2-WACCM,r2i1p1f1,0.00,ESD,,,ESD,Basic,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM,r3i1p1f1,0.00,ESD,,,ESD,Basic,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,2,,2.01,,,3.00,2.00,,,,,0.15,-0.04,2.00,3.00,1.10,,,,,,,2.01,4.79,,,,,,,,,,,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,,2.39,,0.00,,,,,,,,,1.00,1.00,1.10,,,,,,,2.39,,,,5.00,,,,,,4.00,,,100.00,,365_day
CMCC-CM2-HR4,r1i1p1f1,0.00,Basic,,,,,,1,,,,,,,3.00,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,0.75,2.09,,0.00,,,2.00,,0.63,1.10,0.08,-0.00,,1.00,1.10,5.20,1.20,1.30,13.00,1.80,0.80,2.09,3.52,,-0.01,5.00,4.58,5.39,7.56,6.11,-8.78,4.00,,,100.00,,365_day
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,,,,0.00,,,,,0.54,1.00,0.08,-0.00,,,,4.60,0.90,1.10,12.30,2.00,0.90,,,,-0.01,5.00,,,,,,,,,100.00,,365_day
CMCC-ESM2,r1i1p1f2,,,,,,,,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f1,,,,,,,,0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gregorian
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,,2.14,0.02,1.00,0.00,1.00,,-2.79,0.75,1.20,0.07,-0.03,0.00,1.00,1.00,4.20,1.10,1.40,7.70,1.60,1.00,2.14,4.83,0.84,-0.01,3.00,4.04,4.35,6.39,6.27,-47.74,3.40,CNRM,bc dust oa so4 ss,150.00,2222101100.00,
CNRM-CM6-1,r2i1p1f2,0.00,RCM,,-,-,ESD,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r3i1p1f2,0.00,RCM,,-,-,ESD,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,,,,
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,,,,
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,,,,
CNRM-CM6-1-HR,r1i1p1f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gregorian
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,2,,2.48,0.02,0.00,0.00,1.00,1.00,,0.82,1.70,0.07,-0.03,1.00,1.00,1.10,14.30,2.20,1.20,12.20,1.10,1.30,2.48,4.28,,-0.01,4.00,5.66,4.89,5.93,6.47,-55.05,3.80,CNRM,,,2222101100.00,
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,0.75,1.86,0.02,1.00,0.00,1.00,,-3.02,0.76,1.50,0.08,-0.04,1.00,1.00,1.30,3.30,1.50,1.90,7.30,2.10,1.30,1.86,4.76,0.00,-0.00,3.00,3.54,3.92,5.33,5.78,-48.05,3.10,CNRM,bc dust oa so4 ss,150.00,2222222220.00,gregorian
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,,0.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNRM,bc dust oa so4 ss,,,
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,0.78,,,0.00,3.00,0.00,,0.90,,1.80,0.09,-0.10,3.00,2.00,0.90,3.40,1.10,1.30,9.80,1.60,1.80,,5.62,0.98,-0.01,,5.95,6.64,7.96,7.45,-7.57,5.10,CanESM,dust ss,,2222222121.00,
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,0.82,2.74,0.00,0.00,,,,,,1.90,,,,,,6.80,1.30,1.40,10.80,1.70,1.90,2.74,,,,5.00,,,,,,,CanESM,dust ss,500.00,,365_day
CanESM5,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,,2.74,0.00,0.00,,,,,,,,,,,,,,,,,,2.74,,,,5.00,,,,,,,CanESM,dust ss,500.00,,
CanESM5,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,3,,2.74,0.00,0.00,,,,,,,,,,,,,,,,,,2.74,,,,5.00,,,,,,,CanESM,dust ss,500.00,,
CanESM5,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r4i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CanESM,dust ss,,,
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust ss,,,
